# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 5.5, Kd: 0.15
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
3.4556, 1.500000, 1.538583, -0.038583, -0.212205
3.4876, 1.500000, 1.538583, -0.038583, -0.212205
3.5197, 1.500000, 1.537049, -0.037049, -0.180758
3.5517, 0.000000, 1.537049, -1.537049, -5.000000
3.5836, 0.000000, 1.514039, -1.514039, -5.000000
3.6156, 0.000000, 1.383651, -1.383651, -5.000000
3.6476, 0.000000, 1.242524, -1.242524, -4.716991
3.6796, 0.000000, 1.096796, -1.096796, -3.846457
3.7117, 0.000000, 0.948000, -0.948000, -2.982059
3.7436, 0.000000, 0.802272, -0.802272, -2.226573
3.7756, 0.000000, 0.656544, -0.656544, -1.425068
3.8076, 0.000000, 0.512350, -0.512350, -0.655010
3.8396, 0.000000, 0.362019, -0.362019, 0.263845
3.8716, 0.000000, 0.219359, -0.219359, 0.933427
3.9036, 0.000000, 0.107379, -0.107379, 1.089126
3.9355, 0.000000, 0.032214, -0.032214, 0.950301
3.9676, 0.000000, 0.004602, -0.004602, 0.388864
3.9996, 0.000000, 0.012272, -0.012272, -0.182544
4.0316, 0.000000, 0.032214, -0.032214, -0.476301
4.0636, 0.000000, 0.039884, -0.039884, -0.334408
4.0956, 0.000000, 0.032214, -0.032214, -0.062126
4.1276, 0.000000, 0.010738, -0.010738, 0.263078
4.1596, 0.000000, -0.010738, 0.010738, 0.381194
4.1916, 0.000000, -0.015340, 0.015340, 0.153398
4.2236, 0.000000, -0.010738, 0.010738, -0.009971
4.2556, 0.000000, -0.003068, 0.003068, -0.098175
4.2876, 0.000000, -0.004602, 0.004602, 0.048320
4.3196, 0.000000, -0.004602, 0.004602, 0.025311
4.3516, 0.000000, -0.007670, 0.007670, 0.088204
4.3836, 0.000000, -0.004602, 0.004602, -0.020709
4.4156, 0.000000, -0.004602, 0.004602, 0.025311
4.4476, 0.000000, -0.006136, 0.006136, 0.056757
4.4796, 0.000000, -0.006136, 0.006136, 0.033748
4.5116, 0.000000, -0.006136, 0.006136, 0.033748
4.5436, 0.000000, -0.006136, 0.006136, 0.033748
4.5756, 0.000000, -0.006136, 0.006136, 0.033748
4.6076, 0.000000, -0.006136, 0.006136, 0.033748
4.6396, 0.000000, -0.006136, 0.006136, 0.033748
4.6716, 0.000000, -0.006136, 0.006136, 0.033748
4.7035, 0.000000, -0.006136, 0.006136, 0.033748
4.7356, 0.000000, -0.006136, 0.006136, 0.033748
4.7676, 0.000000, -0.006136, 0.006136, 0.033748
4.7995, 0.000000, -0.006136, 0.006136, 0.033748
4.8316, 0.000000, -0.006136, 0.006136, 0.033748
4.8636, 0.000000, -0.006136, 0.006136, 0.033748
4.8956, 0.000000, -0.006136, 0.006136, 0.033748
4.9276, 0.000000, -0.006136, 0.006136, 0.033748
4.9596, 0.000000, -0.006136, 0.006136, 0.033748
4.9916, 0.000000, -0.006136, 0.006136, 0.033748
5.0236, 0.000000, -0.006136, 0.006136, 0.033748
5.0555, 0.000000, -0.006136, 0.006136, 0.033748
5.0875, 0.000000, -0.006136, 0.006136, 0.033748
5.1195, 0.000000, -0.006136, 0.006136, 0.033748
5.1515, 0.000000, -0.006136, 0.006136, 0.033748
5.1835, 0.000000, -0.006136, 0.006136, 0.033748
5.2155, 0.000000, -0.006136, 0.006136, 0.033748
5.2475, 0.000000, -0.006136, 0.006136, 0.033748
5.2795, 0.000000, -0.006136, 0.006136, 0.033748
5.3115, 0.000000, -0.006136, 0.006136, 0.033748
5.3435, 0.000000, -0.006136, 0.006136, 0.033748
5.3756, 0.000000, -0.006136, 0.006136, 0.033748
5.4075, 0.000000, -0.006136, 0.006136, 0.033748
5.4395, 0.000000, -0.006136, 0.006136, 0.033748
5.4715, 0.000000, -0.006136, 0.006136, 0.033748
5.5035, 0.000000, -0.006136, 0.006136, 0.033748
5.5355, 0.000000, -0.006136, 0.006136, 0.033748
5.5675, 0.000000, -0.006136, 0.006136, 0.033748
5.5995, 0.000000, -0.006136, 0.006136, 0.033748
5.6315, 0.000000, -0.006136, 0.006136, 0.033748
5.6635, 0.000000, -0.006136, 0.006136, 0.033748
5.6955, 0.000000, -0.006136, 0.006136, 0.033748
5.7275, 0.000000, -0.006136, 0.006136, 0.033748
5.7595, 0.000000, -0.006136, 0.006136, 0.033748
5.7915, 0.000000, -0.006136, 0.006136, 0.033748
5.8234, 0.000000, -0.006136, 0.006136, 0.033748
5.8555, 0.000000, -0.006136, 0.006136, 0.033748
5.8875, 0.000000, -0.006136, 0.006136, 0.033748
5.9195, 0.000000, -0.006136, 0.006136, 0.033748
5.9515, 0.000000, -0.006136, 0.006136, 0.033748
5.9835, 0.000000, -0.006136, 0.006136, 0.033748
6.0155, 0.000000, -0.006136, 0.006136, 0.033748
6.0475, 0.000000, -0.006136, 0.006136, 0.033748
6.0795, 0.000000, -0.006136, 0.006136, 0.033748
6.1115, 0.000000, -0.006136, 0.006136, 0.033748
6.1435, 0.000000, -0.006136, 0.006136, 0.033748
6.1755, 0.000000, -0.006136, 0.006136, 0.033748
6.2074, 0.000000, -0.006136, 0.006136, 0.033748
6.2395, 0.000000, -0.006136, 0.006136, 0.033748
6.2715, 0.000000, -0.006136, 0.006136, 0.033748
6.3034, 0.000000, -0.006136, 0.006136, 0.033748
6.3355, 0.000000, -0.006136, 0.006136, 0.033748
6.3675, 0.000000, -0.006136, 0.006136, 0.033748
6.3995, 0.000000, -0.006136, 0.006136, 0.033748
6.4315, 0.000000, -0.006136, 0.006136, 0.033748
6.4635, 0.000000, -0.006136, 0.006136, 0.033748
6.4955, 0.000000, -0.006136, 0.006136, 0.033748
6.5274, 0.000000, -0.006136, 0.006136, 0.033748
6.5595, 0.000000, -0.006136, 0.006136, 0.033748
6.5914, 0.000000, -0.006136, 0.006136, 0.033748
6.6235, 0.000000, -0.006136, 0.006136, 0.033748
6.6554, 0.000000, -0.006136, 0.006136, 0.033748
6.6874, 0.000000, -0.006136, 0.006136, 0.033748
6.7195, 0.000000, -0.006136, 0.006136, 0.033748
6.7514, 0.000000, -0.006136, 0.006136, 0.033748
6.7835, 0.000000, -0.006136, 0.006136, 0.033748
6.8154, 0.000000, -0.006136, 0.006136, 0.033748
6.8474, 0.000000, -0.006136, 0.006136, 0.033748
6.8794, 0.000000, -0.006136, 0.006136, 0.033748
6.9115, 0.000000, -0.006136, 0.006136, 0.033748
6.9434, 0.000000, -0.006136, 0.006136, 0.033748
6.9754, 0.000000, -0.006136, 0.006136, 0.033748
7.0074, 0.000000, -0.006136, 0.006136, 0.033748
7.0394, 0.000000, -0.006136, 0.006136, 0.033748
7.0714, 0.000000, -0.006136, 0.006136, 0.033748
7.1034, 0.000000, -0.006136, 0.006136, 0.033748
7.1354, 0.000000, -0.006136, 0.006136, 0.033748
7.1674, 0.000000, -0.006136, 0.006136, 0.033748
7.1994, 0.000000, -0.006136, 0.006136, 0.033748
7.2314, 0.000000, -0.006136, 0.006136, 0.033748
7.2634, 0.000000, -0.006136, 0.006136, 0.033748
7.2954, 0.000000, -0.006136, 0.006136, 0.033748
7.3274, 0.000000, -0.006136, 0.006136, 0.033748
7.3594, 0.000000, -0.006136, 0.006136, 0.033748
7.3914, 0.000000, -0.006136, 0.006136, 0.033748
7.4234, 0.000000, -0.006136, 0.006136, 0.033748
7.4554, 0.000000, -0.006136, 0.006136, 0.033748
7.4874, 0.000000, -0.006136, 0.006136, 0.033748
7.5194, 0.000000, -0.006136, 0.006136, 0.033748
7.5514, 0.000000, -0.006136, 0.006136, 0.033748
7.5834, 0.000000, -0.006136, 0.006136, 0.033748
7.6154, 0.000000, -0.006136, 0.006136, 0.033748
7.6474, 0.000000, -0.006136, 0.006136, 0.033748
7.6794, 0.000000, -0.006136, 0.006136, 0.033748
7.7114, 0.000000, -0.006136, 0.006136, 0.033748
7.7434, 0.000000, -0.006136, 0.006136, 0.033748
7.7754, 0.000000, -0.006136, 0.006136, 0.033748
7.8074, 0.000000, -0.006136, 0.006136, 0.033748
7.8394, 0.000000, -0.006136, 0.006136, 0.033748
7.8714, 0.000000, -0.006136, 0.006136, 0.033748
7.9034, 0.000000, -0.006136, 0.006136, 0.033748
7.9354, 0.000000, -0.006136, 0.006136, 0.033748
7.9674, 0.000000, -0.006136, 0.006136, 0.033748
7.9994, 0.000000, -0.006136, 0.006136, 0.033748
8.0313, 0.000000, -0.006136, 0.006136, 0.033748
8.0633, 0.000000, -0.006136, 0.006136, 0.033748
8.0953, 0.000000, -0.006136, 0.006136, 0.033748
8.1273, 0.000000, -0.006136, 0.006136, 0.033748
8.1594, 0.000000, -0.006136, 0.006136, 0.033748
8.1913, 0.000000, -0.006136, 0.006136, 0.033748
