# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 40.0, Kd: 1.025
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
0.0318, -0.500000, -0.521553, 0.021553, 0.862139
0.0638, -0.500000, -0.521553, 0.021553, 0.862139
0.0958, -0.500000, -0.521553, 0.021553, 0.862139
0.1278, -0.500000, -0.521553, 0.021553, 0.862139
0.1597, -0.500000, -0.521553, 0.021553, 0.862139
0.1918, -0.500000, -0.521553, 0.021553, 0.862139
0.2238, -0.500000, -0.521553, 0.021553, 0.862139
0.2558, -0.500000, -0.521553, 0.021553, 0.862139
0.2878, -0.500000, -0.521553, 0.021553, 0.862139
0.3198, -0.500000, -0.521553, 0.021553, 0.862139
0.3518, -0.500000, -0.521553, 0.021553, 0.862139
0.3838, -0.500000, -0.521553, 0.021553, 0.862139
0.4158, -0.500000, -0.521553, 0.021553, 0.862139
0.4478, -0.500000, -0.521553, 0.021553, 0.862139
0.4798, -0.500000, -0.521553, 0.021553, 0.862139
0.5118, -0.500000, -0.521553, 0.021553, 0.862139
0.5437, -0.500000, -0.521553, 0.021553, 0.862139
0.5758, -0.500000, -0.521553, 0.021553, 0.862139
0.6078, -0.500000, -0.521553, 0.021553, 0.862139
0.6398, -0.500000, -0.521553, 0.021553, 0.862139
0.6718, -0.500000, -0.521553, 0.021553, 0.862139
0.7038, -0.500000, -0.521553, 0.021553, 0.862139
0.7358, -0.500000, -0.521553, 0.021553, 0.862139
0.7678, -0.500000, -0.521553, 0.021553, 0.862139
0.7998, -0.500000, -0.521553, 0.021553, 0.862139
0.8318, -0.500000, -0.521553, 0.021553, 0.862139
0.8638, -0.500000, -0.521553, 0.021553, 0.862139
0.8958, -0.500000, -0.521553, 0.021553, 0.862139
0.9278, -0.500000, -0.521553, 0.021553, 0.862139
0.9598, -0.500000, -0.521553, 0.021553, 0.862139
0.9918, -0.500000, -0.521553, 0.021553, 0.862139
1.0238, -0.500000, -0.521553, 0.021553, 0.862139
1.0558, -0.500000, -0.521553, 0.021553, 0.862139
1.0878, -0.500000, -0.521553, 0.021553, 0.862139
1.1198, -0.500000, -0.521553, 0.021553, 0.862139
1.1517, -0.500000, -0.521553, 0.021553, 0.862139
1.1838, -0.500000, -0.521553, 0.021553, 0.862139
1.2158, -0.500000, -0.521553, 0.021553, 0.862139
1.2478, -0.500000, -0.521553, 0.021553, 0.862139
1.2798, -0.500000, -0.521553, 0.021553, 0.862139
1.3117, -0.500000, -0.521553, 0.021553, 0.862139
1.3438, -0.500000, -0.521553, 0.021553, 0.862139
1.3758, -0.500000, -0.521553, 0.021553, 0.862139
1.4077, -0.500000, -0.521553, 0.021553, 0.862139
1.4398, -0.500000, -0.521553, 0.021553, 0.862139
1.4718, -0.500000, -0.521553, 0.021553, 0.862139
1.5038, -0.500000, -0.521553, 0.021553, 0.862139
1.5357, -0.500000, -0.521553, 0.021553, 0.862139
1.5677, -0.500000, -0.521553, 0.021553, 0.862139
1.5997, -0.500000, -0.521553, 0.021553, 0.862139
1.6317, -0.500000, -0.521553, 0.021553, 0.862139
1.6637, -0.500000, -0.521553, 0.021553, 0.862139
1.6957, -0.500000, -0.521553, 0.021553, 0.862139
1.7277, -0.500000, -0.521553, 0.021553, 0.862139
1.7597, -0.500000, -0.521553, 0.021553, 0.862139
1.7916, -0.500000, -0.521553, 0.021553, 0.862139
1.8237, -0.500000, -0.521553, 0.021553, 0.862139
1.8557, -0.500000, -0.521553, 0.021553, 0.862139
1.8877, -0.500000, -0.521553, 0.021553, 0.862139
1.9197, -0.500000, -0.521553, 0.021553, 0.862139
