# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 0.8, Kd: 0.2
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
2.1413, 1.000000, -0.113515, 1.113515, 5.000000
2.1733, 1.000000, -0.090505, 1.090505, 0.412210
2.2053, 1.000000, 0.036816, 0.963184, -1.775861
2.2372, 1.000000, 0.139592, 0.860408, -1.367208
2.2692, 1.000000, 0.164136, 0.835864, 0.177817
2.3012, 1.000000, 0.128854, 0.871146, 1.402548
2.3332, 1.000000, 0.104311, 0.895689, 1.207425
2.3652, 1.000000, 0.111981, 0.888019, 0.557017
2.3971, 1.000000, 0.134990, 0.865010, 0.231814
2.4292, 1.000000, 0.162602, 0.837398, 0.117685
2.4611, 1.000000, 0.177942, 0.822058, 0.350850
2.4931, 1.000000, 0.179476, 0.820524, 0.625740
2.5251, 1.000000, 0.179476, 0.820524, 0.656419
2.5571, 1.000000, 0.181010, 0.818990, 0.624513
2.5891, 1.000000, 0.179476, 0.820524, 0.687099
2.6211, 1.000000, 0.179476, 0.820524, 0.656419
2.6531, 1.000000, 0.179476, 0.820524, 0.656419
2.6851, 1.000000, 0.179476, 0.820524, 0.656419
2.7171, 1.000000, 0.179476, 0.820524, 0.656419
2.7491, 1.000000, 0.179476, 0.820524, 0.656419
2.7811, 1.000000, 0.179476, 0.820524, 0.656419
2.8131, 1.000000, 0.181010, 0.818990, 0.624513
2.8451, 1.000000, 0.179476, 0.820524, 0.687099
2.8771, 1.000000, 0.179476, 0.820524, 0.656419
2.9091, 1.000000, 0.181010, 0.818990, 0.624513
2.9412, 1.000000, 0.181010, 0.818990, 0.655192
2.9732, 1.000000, 0.181010, 0.818990, 0.655192
3.0052, 1.000000, 0.181010, 0.818990, 0.655192
3.0371, 1.000000, 0.181010, 0.818990, 0.655192
3.0692, 1.000000, 0.179476, 0.820524, 0.687099
3.1012, 1.000000, 0.179476, 0.820524, 0.656419
3.1332, 1.000000, 0.179476, 0.820524, 0.656419
3.1652, 1.000000, 0.179476, 0.820524, 0.656419
