# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 2.0, Kd: 0.6
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
3.2220, 0.500000, -0.161068, 0.661068, 4.635534
3.2540, 0.500000, -0.136524, 0.636524, -0.199573
3.2860, 0.500000, -0.009204, 0.509204, -5.000000
3.3180, 0.500000, 0.064427, 0.435573, -3.546719
3.3500, 0.500000, -0.039884, 0.539884, 5.000000
3.3820, 0.500000, -0.167204, 0.667204, 5.000000
3.4139, 0.500000, -0.098175, 0.598175, -2.945399
3.4459, 0.500000, 0.024544, 0.475456, -5.000000
3.4780, 0.500000, 0.013806, 0.486194, 1.616660
3.5100, 0.500000, -0.122718, 0.622718, 5.000000
3.5420, 0.500000, -0.179476, 0.679476, 4.764389
3.5740, 0.500000, -0.061359, 0.561359, -5.000000
3.6060, 0.500000, 0.050621, 0.449379, -5.000000
3.6381, 0.500000, -0.026078, 0.526078, 5.000000
3.6700, 0.500000, -0.153398, 0.653398, 5.000000
3.7020, 0.500000, -0.081301, 0.581301, -3.163224
3.7340, 0.500000, 0.042951, 0.457049, -5.000000
3.7660, 0.500000, 0.027612, 0.472388, 1.865165
3.7980, 0.500000, -0.104311, 0.604311, 5.000000
3.8299, 0.500000, -0.150330, 0.650330, 4.061826
3.8620, 0.500000, -0.027612, 0.527612, -5.000000
3.8939, 0.500000, 0.081301, 0.418699, -5.000000
3.9259, 0.500000, 0.004602, 0.495398, 5.000000
3.9579, 0.500000, -0.119651, 0.619651, 5.000000
3.9899, 0.500000, -0.046019, 0.546019, -3.325826
4.0219, 0.500000, 0.079767, 0.420233, -5.000000
4.0538, 0.500000, 0.062893, 0.437107, 1.886641
4.0858, 0.500000, -0.069029, 0.569029, 5.000000
4.1178, 0.500000, -0.113515, 0.613515, 3.896156
4.1498, 0.500000, 0.007670, 0.492330, -5.000000
4.1818, 0.500000, 0.115049, 0.384951, -5.000000
4.2138, 0.500000, 0.039884, 0.460116, 5.000000
4.2458, 0.500000, -0.084369, 0.584369, 5.000000
4.2778, 0.500000, -0.007670, 0.507670, -3.586603
4.3098, 0.500000, 0.111981, 0.388019, -5.000000
4.3418, 0.500000, 0.088971, 0.411029, 2.202641
4.3738, 0.500000, -0.035282, 0.535282, 5.000000
4.4058, 0.500000, -0.067495, 0.567495, 3.067806
4.4378, 0.500000, 0.059825, 0.440175, -5.000000
4.4698, 0.500000, 0.170272, 0.329728, -5.000000
4.5018, 0.500000, 0.093573, 0.406427, 5.000000
4.5338, 0.500000, -0.026078, 0.526078, 5.000000
4.5658, 0.500000, 0.044485, 0.455515, -3.322758
4.5978, 0.500000, 0.168738, 0.331262, -5.000000
4.6298, 0.500000, 0.151864, 0.348136, 1.708699
4.6618, 0.500000, 0.026078, 0.473922, 5.000000
4.6938, 0.500000, -0.019942, 0.519942, 3.801049
4.7258, 0.500000, 0.093573, 0.406427, -5.000000
4.7578, 0.500000, 0.213223, 0.286777, -5.000000
4.7898, 0.500000, 0.141126, 0.358874, 5.000000
4.8218, 0.500000, 0.024544, 0.475456, 5.000000
4.8538, 0.500000, 0.088971, 0.411029, -3.043573
4.8858, 0.500000, 0.216291, 0.283709, -5.000000
4.9178, 0.500000, 0.208621, 0.291379, 1.042951
4.9498, 0.500000, 0.084369, 0.415631, 5.000000
4.9818, 0.500000, 0.026078, 0.473922, 4.445321
5.0137, 0.500000, 0.134990, 0.365010, -5.000000
5.0457, 0.500000, 0.254641, 0.245359, -5.000000
5.0778, 0.500000, 0.182544, 0.317456, 4.960738
